Unnamed: 0,college_name,location,course_fees,review,Average Package,Highest Package,Cutoff rank in CSE
0,"IIT Madras - Indian Institute of Technology - [IITM], Chennai","Chennai, Tamil Nadu",209550,8.7,2148000,19800000,144
1,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi","New Delhi, Delhi NCR",254650,8.7,1760000,20000000,115
3,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai","Mumbai, Maharashtra",229300,8.8,2182000,36700000,66
4,"RNS Institute of Technology - [RNSIT], Bangalore","Bangalore, Karnataka",116765,7.7,550000,5600000,7554
5,"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur","Kharagpur, West Bengal",223600,8.7,4565874,26000000,261
6,"Parul University, Vadodara","Vadodara, Gujarat",137800,8.1,2600000,2950000,30372
7,"IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur","Kanpur, Uttar Pradesh",229200,8.8,541800,19000000,215
8,"IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee","Roorkee, Uttarakhand",230100,8.7,2580000,13000000,396
9,"BITS Pilani (Pilani Campus), Pilani","Pilani, Rajasthan",571575,8.8,3037000,6075000,375
11,"IIT Guwahati - Indian Institute of Technology - [IITG], Guwahati","Guwahati, Assam",219250,8.7,541800,24000000,601
12,"New Horizon College of Engineering - [NHCE], Bangalore","Bangalore, Karnataka",1000000,8.6,541800,3000000,7270
13,"IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad","Hyderabad, Telangana",241550,8.6,2007000,6378000,604
14,"GSFC University, Vadodara","Vadodara, Gujarat",116250,8.1,541800,850000,9737
15,"College of Engineering, Anna University - [CEG], Chennai","Chennai, Tamil Nadu",47200,8.4,693000,1264000,193
16,"NIT Trichy, Tiruchirappalli","Tiruchirappalli, Tamil Nadu",178150,8.4,541800,4000000,1147
17,"IIT BHU - Indian Institute of Technology, Varanasi","Varanasi, Uttar Pradesh",228315,8.5,3400000,12000000,1010
18,"CMR University - [CMRU], Bangalore","Bangalore, Karnataka",225000,7.4,430000,1100000,31107
19,"Institute of Chemical Technology - [ICT], Mumbai","Mumbai, Maharashtra",89100,8.6,500000,1700000,1345
20,"Mody University, Sikar","Sikar, Rajasthan",266000,8.5,823000,1300000,33989
21,"IIT Indore - Indian Institute of Technology - [IITI], Indore","Indore, Madhya Pradesh",233900,8.5,2545000,6800000,1144
24,"Bennett University, Greater Noida","Greater Noida, Uttar Pradesh",425000,8.8,1110000,12000000,45226
25,"ISM Dhanbad - Indian Institute of Technology - [IITISM], Dhanbad","Dhanbad, Jharkhand",240250,8.5,1701000,8300000,2862
26,"National Institute of Technology - [NIT], Rourkela","Rourkela, Orissa",178000,8.3,2088000,4608000,3369
27,"IIT Bhubaneswar - Indian Institute of Technology - [IITBBS], Bhubaneswar","Bhubaneswar, Orissa",221290,8.3,1750000,5575000,2806
28,"Rajiv Gandhi Institute of Petroleum Technology - [RGIPT], Amethi","Amethi, Uttar Pradesh",271600,8.5,541800,2134000,43513
29,"Vellore Institute of Technology - [VIT University], Vellore","Vellore, Tamil Nadu",198000,8.3,819000,10200000,5001
30,"East Point Group of Institutions - [EPGI], Bangalore","Bangalore, Karnataka",250000,7.3,750000,2500000,31175
31,"Indian Institute of Engineering Science and Technology - [IIEST] Shibpur, Howrah","Howrah, West Bengal",142000,8.1,541800,4500000,10719
32,"IIT Mandi- Indian Institute of Technology - [IITM], Mandi","Mandi, Himachal Pradesh",234750,8.3,2523000,6000000,2773
33,"National Institute of Technology - [NITK], Surathkal","Surathkal, Karnataka",157280,8.5,1312000,4500000,2212
34,"IIT Patna - Indian Institute of Technology - [IITP], Patna","Patna, Bihar",270250,8.5,2930000,8205000,2500
35,"Thapar Institute of Engineering and Technology - [Thapar University], Patiala","Patiala, Punjab",413600,7.7,1097000,4000000,1528
36,"IIT Gandhinagar - Indian Institute of Technology - [IITG], Gandhinagar","Gandhinagar, Gujarat",229426,8.7,1535000,6200000,1352
37,"NIT Warangal, Warangal","Warangal, Telangana",207000,8.4,1729000,8800000,1664
38,"Jamia Millia Islamia University-[JMI], New Delhi","New Delhi, Delhi NCR",16150,8.2,900000,2500000,15487
39,"National Institute of Technology - [NITC], Calicut","Calicut, Kerala",308255,8.1,2300000,4700000,4455
40,"IIT Ropar - Indian Institute of Technology - [IITR], Ropar","Ropar, Punjab",222300,8.8,2249000,5500000,1763
42,"NIT Silchar, Silchar","Silchar, Assam",154500,8.2,1358000,4400000,25022
44,"Malaviya National Institute of Technology - [MNIT], Jaipur","Jaipur, Rajasthan",177665,8.4,1243000,6400000,4909
45,"Panjab University - [PU], Chandigarh","Chandigarh, Chandigarh",114305,7.8,541800,745000,57859
46,"Indraprastha Institute of Information Technology - [IIITD], New Delhi","New Delhi, Delhi NCR",462000,8.7,2539000,5130000,962
47,"Thiagarajar College of Engineering - [TCE], Madurai","Madurai, Tamil Nadu",82000,8.5,320000,850000,924
48,"Sardar Vallabhbhai National Institute of Technology - [SVNIT], Surat","Surat, Gujarat",169000,7.453557199772339,1826000,4400000,6373
49,"Andhra University, College of Engineering - [AUCE], Visakhapatnam","Visakhapatnam, Andhra Pradesh",10000,7.7,541800,560000,1627
50,"National Institute of Technology - [NIT], Hamirpur","Hamirpur, Himachal Pradesh",180200,8.2,1030000,15100000,10415
52,"Kalasalingam Academy of Research and Education, Krishnankovil","Krishnankovil, Tamil Nadu",120600,7.453557199772339,450000,1200000,72913
53,"Maulana Azad National Institute of Technology  - [MANIT], Bhopal","Bhopal, Madhya Pradesh",154000,7.453557199772339,1155000,8536000,7952
54,"R V College of Engineering - [RVCE], Bangalore","Bangalore, Karnataka",1300000,7.9,863000,5200000,373
55,"Ramaiah Institute of Technology - [RIT], Bangalore","Bangalore, Karnataka",86226,7.453557199772339,766000,5000000,1145
56,"International Institute of Information Technology - [IIIT-B], Bangalore","Bangalore, Karnataka",384000,8.5,3078000,20200000,8000
57,"National Institute of Technology - [NIT] Meghalaya, Shillong","Shillong, Meghalaya",155150,7.5,1041000,3200000,16663
58,"Coimbatore Institute of Technology - [CIT], Coimbatore","Coimbatore, Tamil Nadu",25800,7.9,499000,3305000,1343
59,"BMS College of Engineering - [BMSCE], Bangalore","Bangalore, Karnataka",350000,8.3,541800,4400000,967
60,"National Institute of Technology - [NIT], Agartala","Agartala, Tripura",150550,8.1,500000,3600000,16987
61,"College of Engineering, Thiruvananthapuram","Thiruvananthapuram, Kerala",50000,8.4,541800,3400000,645
62,"Karunya Institute of Technology and Sciences - [Karunya Deemed University], Coimbatore","Coimbatore, Tamil Nadu",218500,8.1,350000,2500000,13394
63,"Guru Gobind Singh Indraprastha University - [GGSIPU], New Delhi","New Delhi, Delhi NCR",132000,7.6,1200000,4500000,15339
64,"National Institute of Technology - [NIT], Raipur","Raipur, Chhattisgarh",140600,7.7,541800,20000000,11011
65,"Indian Institute of Information Technology Design and Manufacturing - [IIITDM], Jabalpur","Jabalpur, Madhya Pradesh",158940,7.453557199772339,2163000,4300000,13100
66,"Kumaraguru College of Technology - [KCT], Coimbatore","Coimbatore, Tamil Nadu",100200,8.3,541800,1500000,27139
67,"Pondicherry Engineering College - [PEC], Pondicherry","Pondicherry, Puducherry",171200,7.8,400000,1000000,37565
68,"Punjab Engineering College University of Technology - [PEC], Chandigarh","Chandigarh, Chandigarh",207000,7.453557199772339,541800,4200000,9240
69,"Siddaganga Institute of Technology - [SIT], Tumkur","Tumkur, Karnataka",115796,7.8,850000,4150000,8901
70,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management - [ABVIIITM], Gwalior","Gwalior, Madhya Pradesh",187250,7.9,2485000,19500000,5932
71,"Jaypee Institute of Information Technology University - [JIIT], Noida","Noida, Uttar Pradesh",269500,7.453557199772339,541800,4388000,54289
72,"Indian Institute of Information Technology - [IIIT], Allahabad","Allahabad, Uttar Pradesh",104000,8.6,1957000,14000000,4817
73,"University College of Engineering, Osmania University - [UCE], Hyderabad","Hyderabad, Telangana",35000,8.4,541800,2400000,639
74,"Dayalbagh Educational Institute Faculty of Engineering, Agra","Agra, Uttar Pradesh",51300,8.2,490000,1253000,755072
75,"Shri Mata Vaishno Devi University - [SMVDU], Katra","Katra, Jammu and Kashmir",169000,7.8,541800,1020000,49979
76,"National Institute of Technology - [NIT], South Goa","South Goa, Goa",143200,7.5,1310000,4400000,9930
77,"Mepco Schlenk Engineering College, Sivakasi","Sivakasi, Tamil Nadu",134000,8.1,541800,2580000,21596
78,"Sri Venkateswara University College of Engineering, Tirupati","Tirupati, Andhra Pradesh",16395,7.9,400000,1407000,28628
79,"Government College of Technology - [GCT], Coimbatore","Coimbatore, Tamil Nadu",9180,8.1,541800,3470000,2651
80,"Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT], Gandhinagar","Gandhinagar, Gujarat",172000,8.7,1606000,5422000,900035
81,"Army Institute of Technology - [AIT], Pune","Pune, Maharashtra",250520,8.9,1470000,5200000,50000
82,"Bharati Vidyapeeth Deemed University - [BVDU], Pune","Pune, Maharashtra",157500,7.7,500000,1900000,81086
83,"Hindustan Institute of Technology and Science - [HITS], Chennai","Chennai, Tamil Nadu",229500,6.6,541800,1500000,55631
84,"C. V. Raman Global University, Bhubaneswar","Bhubaneswar, Orissa",175000,7.7,750000,950000,866000
85,"I.K. Gujral Punjab Technical University - [IKG-PTU], Jalandhar","Jalandhar, Punjab",96100,7.4,541800,1730000,114126
87,"Kongu Engineering College - [KEC], Erode","Erode, Tamil Nadu",55000,8.3,396000,1250000,26619
88,"Vignan's Foundation for Science, Technology, and Research, Guntur","Guntur, Andhra Pradesh",120000,8.3,541800,700000,10448
89,"B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU], Chennai","Chennai, Tamil Nadu",85000,8.4,520000,2484000,11596
90,"Bannari Amman Institute of Technology - [BIT], Sathyamangalam","Sathyamangalam, Tamil Nadu",75000,8.4,541800,4400000,7700
91,"Institute of Engineering and Management - [IEM], Kolkata","Kolkata, West Bengal",178400,7.453557199772339,400000,7200000,6198
93,"Chaitanya Bharathi Institute of Technology - [CBIT], Hyderabad","Hyderabad, Telangana",140000,8.2,541800,5000000,2246
95,"Veermata Jijabai Technological Institute - [VJTI], Mumbai","Mumbai, Maharashtra",85551,7.9,1140000,8400000,229
96,"JNTUK University College of Engineering, Kakinada, East Godavari","East Godavari, Andhra Pradesh",10000,7.9,541800,5620000,69827
97,"Graphic Era University, School of Engineering and Technology - [GEU], Dehradun","Dehradun, Uttarakhand",236400,8.3,750000,1400000,200000
98,"Dr BR Ambedkar National Institute of Technology - [NIT], Jalandhar","Jalandhar, Punjab",164000,7.9,1187000,4400000,13541
99,"GH Raisoni College of Engineering - [GHRCE], Nagpur","Nagpur, Maharashtra",161330,8.5,450000,1750000,62236
100,"Mukesh Patel School of Technology Management and Engineering - [MPSTME], Mumbai","Mumbai, Maharashtra",350000,8.2,677000,4043000,262340
101,"Sardar Patel Institute of Technology - [SPIT], Mumbai","Mumbai, Maharashtra",172804,8.1,1100000,4200000,590
102,"Faculty of Engineering and Technology, Jain University - [FET JU], Bangalore","Bangalore, Karnataka",210000,8.1,541800,3600000,38354
103,"Shri Ramdeobaba College of Engineering and Management - [RCOEM], Nagpur","Nagpur, Maharashtra",165500,8.1,550000,2500000,3194
104,"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET], Hyderabad","Hyderabad, Telangana",131000,8.5,541800,3150000,2755
105,"National Institute of Food Technology Entrepreneurship and Management - [NIFTEM], Sonepat","Sonepat, Haryana",203550,8.2,600000,4400000,75166
106,"Sri Jayachamarajendra College of Engineering - [SJCE], Mysore","Mysore, Karnataka",475000,8.3,541800,4280000,5998
107,"Jaypee University of Information Technology - [JUIT], Solan","Solan, Himachal Pradesh",241000,7.453557199772339,567000,3200000,48918
108,"Cochin University of Science and Technology, School of Engineering -[SOE] Thrikkakara, Ernakulam","Ernakulam, Kerala",86040,8.2,541800,4800000,1030
109,"University Institute of Engineering, Chandigarh University - [UIE], Chandigarh","Chandigarh, Chandigarh",177000,8.4,700000,3500000,42025
