Unnamed: 0,college_name,location,course_fees,review,rank,Average Package,Highest Package,Cutoff rank in CSE
0,"IIT Madras - Indian Institute of Technology - [IITM], Chennai","Chennai, Tamil Nadu","₹ 2,09,550",8.7 / 10,#3rd/131  in India   2023,2148000,19800000,144
1,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi","New Delhi, Delhi NCR","₹ 2,54,650",8.7 / 10,#1st/35  in India   2023,1760000,20000000,115
3,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai","Mumbai, Maharashtra","₹ 2,29,300",8.8 / 10,#2nd/35  in India   2023,2182000,36700000,66
4,"RNS Institute of Technology - [RNSIT], Bangalore","Bangalore, Karnataka","₹ 1,16,765",7.7 / 10,#251th/300  in India   2021,550000,5600000,7554
5,"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur","Kharagpur, West Bengal","₹ 2,23,600",8.7 / 10,#4th/35  in India   2023,4565874,26000000,261
6,"Parul University, Vadodara","Vadodara, Gujarat","₹ 1,37,800",8.1 / 10,#99th/147  in India   2019,2600000,2950000,30372
7,"IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur","Kanpur, Uttar Pradesh","₹ 2,29,200",8.8 / 10,#3rd/35  in India   2023,,19000000,215
8,"IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee","Roorkee, Uttarakhand","₹ 2,30,100",8.7 / 10,#5th/35  in India   2023,2580000,13000000,396
9,"BITS Pilani (Pilani Campus), Pilani","Pilani, Rajasthan","₹ 5,71,575",8.8 / 10,#1st/246  in India   2023,3037000,6075000,375
11,"IIT Guwahati - Indian Institute of Technology - [IITG], Guwahati","Guwahati, Assam","₹ 2,19,250",8.7 / 10,#6th/35  in India   2023,,24000000,601
12,"New Horizon College of Engineering - [NHCE], Bangalore","Bangalore, Karnataka","₹ 10,00,000",8.6 / 10,#151th/200  in India   2023,,3000000,7270
13,"IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad","Hyderabad, Telangana","₹ 2,41,550",8.6 / 10,#8th/200  in India   2023,2007000,6378000,604
14,"GSFC University, Vadodara","Vadodara, Gujarat","₹ 1,16,250",8.1 / 10,,,850000,9737
15,"College of Engineering, Anna University - [CEG], Chennai","Chennai, Tamil Nadu","₹ 47,200",8.4 / 10,#12th/131  in India   2023,693000,1264000,193
16,"NIT Trichy, Tiruchirappalli","Tiruchirappalli, Tamil Nadu","₹ 1,78,150",8.4 / 10,#9th/30  in India   2021,,4000000,1147
17,"IIT BHU - Indian Institute of Technology, Varanasi","Varanasi, Uttar Pradesh","₹ 2,28,315",8.5 / 10,#9th/131  in India   2023,3400000,12000000,1010
18,"CMR University - [CMRU], Bangalore","Bangalore, Karnataka","₹ 2,25,000",7.4 / 10,#246th/246  in India   2023,430000,1100000,31107
19,"Institute of Chemical Technology - [ICT], Mumbai","Mumbai, Maharashtra","₹ 89,100",8.6 / 10,#24th/200  in India   2023,500000,1700000,1345
20,"Mody University, Sikar","Sikar, Rajasthan","₹ 2,66,000",8.5 / 10,#17th/20  in India   2021,823000,1300000,33989
21,"IIT Indore - Indian Institute of Technology - [IITI], Indore","Indore, Madhya Pradesh","₹ 2,33,900",8.5 / 10,#14th/200  in India   2023,2545000,6800000,1144
24,"Bennett University, Greater Noida","Greater Noida, Uttar Pradesh","₹ 4,25,000",8.8 / 10,#52th/246  in India   2023,1110000,12000000,45226
25,"ISM Dhanbad - Indian Institute of Technology - [IITISM], Dhanbad","Dhanbad, Jharkhand","₹ 2,40,250",8.5 / 10,#14th/131  in India   2023,1701000,8300000,2862
26,"National Institute of Technology - [NIT], Rourkela","Rourkela, Orissa","₹ 1,78,000",8.3 / 10,#21th/30  in India   2021,2088000,4608000,3369
27,"IIT Bhubaneswar - Indian Institute of Technology - [IITBBS], Bhubaneswar","Bhubaneswar, Orissa","₹ 2,21,290",8.3 / 10,#11th/32  in India   2022,1750000,5575000,2806
28,"Rajiv Gandhi Institute of Petroleum Technology - [RGIPT], Amethi","Amethi, Uttar Pradesh","₹ 2,71,600",8.5 / 10,#79th/200  in India   2023,,2134000,43513
29,"Vellore Institute of Technology - [VIT University], Vellore","Vellore, Tamil Nadu","₹ 1,98,000",8.3 / 10,#4th/218  in India   2021,819000,10200000,5001
